state,date,year,month,observed,observed_imp,popn,tas,RH
NSW,2022-11-01,2022,11,678,678,8249295.0,16.77493160240757,64.30254954267974
NSW,2022-12-01,2022,12,1667,1667,8249295.0,18.71967462665846,64.33918876519748
NT,2008-01-01,2008,1,5,7,217912.0,29.56412083122177,65.80967962447349
NT,2008-02-01,2008,2,17,17,217912.0,27.737060069390928,72.0753493056964
NT,2008-03-01,2008,3,8,8,217912.0,27.40859152239709,67.01016433010923
NT,2008-04-01,2008,4,4,4,219874.0,25.432973265011483,53.488832384516016
NT,2008-05-01,2008,5,2,5,219874.0,22.988087945496357,49.45490087713755
NT,2008-06-01,2008,6,1,4,219874.0,21.85290375965749,56.02801381480617
NT,2008-07-01,2008,7,4,5,221464.0,20.746516831701488,48.3581068103627
NT,2008-08-01,2008,8,39,39,221464.0,22.082367177370827,45.18399720753719
NT,2008-09-01,2008,9,59,59,221464.0,26.146901737636725,54.97762469064565
NT,2008-10-01,2008,10,32,32,222526.0,28.796394187279255,51.61942412451038
NT,2008-11-01,2008,11,23,27,222526.0,29.25813211665331,63.347046239054485
NT,2008-12-01,2008,12,6,8,222526.0,28.56769298267564,69.71677529232034
NT,2009-01-01,2009,1,12,12,223922.0,28.284378782733103,73.34494396713714
NT,2009-02-01,2009,2,1,5,223922.0,27.75427881648965,71.01928285846991
NT,2009-03-01,2009,3,4,7,223922.0,28.42637384544598,60.07618842901302
NT,2009-04-01,2009,4,1,7,226027.0,27.19995080275588,58.05665819830385
NT,2009-05-01,2009,5,41,41,226027.0,24.040843312263465,56.102553456558944
NT,2009-06-01,2009,6,388,388,226027.0,21.728219354784983,57.489713243999375
NT,2009-07-01,2009,7,1242,1242,227255.0,21.19158579010845,51.80901765090309
NT,2009-08-01,2009,8,211,211,227255.0,23.735866087228963,54.44804361110663
NT,2009-09-01,2009,9,51,51,227255.0,26.693299289145653,53.965251775006855
NT,2009-10-01,2009,10,15,15,227783.0,27.677503998841857,49.59796354066967
NT,2009-11-01,2009,11,8,11,227783.0,29.34918743566172,55.66349218072132
NT,2009-12-01,2009,12,6,7,227783.0,28.95312547636448,65.6509438659931
NT,2010-01-01,2010,1,2,4,228600.0,28.245574411109363,72.54835604509151
NT,2010-02-01,2010,2,0,4,228600.0,28.80676144186469,70.55839661671692
NT,2010-03-01,2010,3,2,4,228600.0,27.8382443940538,67.07379920632863
NT,2010-04-01,2010,4,2,5,229778.0,26.684634912746205,71.41608234880326
NT,2010-05-01,2010,5,1,4,229778.0,24.84423659211908,67.4183259084559
NT,2010-06-01,2010,6,21,41,229778.0,21.656570818490277,54.58230123080714
NT,2010-07-01,2010,7,26,26,230460.0,23.21320959809352,59.914581586221146
NT,2010-08-01,2010,8,26,26,230460.0,23.04948810830895,54.47446947131596
NT,2010-09-01,2010,9,151,151,230460.0,26.129982116360765,62.36912422492749
NT,2010-10-01,2010,10,107,107,230299.0,26.838337326787403,63.78276538878536
NT,2010-11-01,2010,11,55,55,230299.0,27.75312993737284,62.46850934162258
NT,2010-12-01,2010,12,89,89,230299.0,28.032540600019928,69.65588750826912
NT,2011-01-01,2011,1,65,65,230224.0,28.01573302408917,73.67125836563896
NT,2011-02-01,2011,2,109,109,230224.0,26.93913603226525,79.0596236650886
NT,2011-03-01,2011,3,126,126,230224.0,26.14994664432917,80.7083271069722
NT,2011-04-01,2011,4,29,29,231292.0,24.92514344146024,67.10939672833098
NT,2011-05-01,2011,5,5,7,231292.0,21.61186085554443,56.96948163189988
NT,2011-06-01,2011,6,4,5,231292.0,18.643696080841124,56.26381237306529
NT,2011-07-01,2011,7,13,15,232581.0,21.11316755371434,56.57805907581916
NT,2011-08-01,2011,8,43,43,232581.0,21.97865298282371,51.85998714555285
NT,2011-09-01,2011,9,142,142,232581.0,24.847724871090303,52.22988363901748
NT,2011-10-01,2011,10,34,34,232952.0,28.03787021867584,58.92350835297178
NT,2011-11-01,2011,11,11,11,232952.0,28.13261646398276,65.73917450849726
NT,2011-12-01,2011,12,12,14,232952.0,28.84414696282865,66.7722845006478
NT,2012-01-01,2012,1,7,9,234275.0,28.991136890378435,66.24599034868578
NT,2012-02-01,2012,2,1,5,234275.0,28.369993532758407,66.66063860494526
NT,2012-03-01,2012,3,14,22,234275.0,26.676707988248477,73.22769993175797
NT,2012-04-01,2012,4,23,23,235915.0,25.795526478270705,62.88743246548186
NT,2012-05-01,2012,5,37,37,235915.0,23.01302691975121,54.95582695530484
NT,2012-06-01,2012,6,86,86,235915.0,19.673560403109946,52.82167408218825
NT,2012-07-01,2012,7,90,90,237517.0,20.468975533236456,48.83621822504116
NT,2012-08-01,2012,8,79,79,237517.0,21.65173450407089,50.78051279025182
NT,2012-09-01,2012,9,37,37,237517.0,25.583941337406515,53.13473533034012
